rank,stock,spot,sell_strike,buy_strike,otm_percent,otm_points,width,credit,lot_size,profit_per_lot,loss_per_lot,breakeven,profit_to_loss
1,KALJEW,615.8,570.0,560.0,7.437479701201682,45.799999999999955,10.0,1.7999999999999998,1350,2429.9999999999995,11069.999999999998,568.2,4.555555555555555
2,KALJEW,615.8,570.0,550.0,7.437479701201682,45.799999999999955,20.0,3.45,1350,4657.5,22342.5,566.55,4.797101449275362
3,KALJEW,615.8,575.0,570.0,6.625527768756083,40.799999999999955,5.0,1.0,1350,1350.0,5400.0,574.0,4.0
4,KALJEW,615.8,575.0,565.0,6.625527768756083,40.799999999999955,10.0,2.1000000000000005,1350,2835.000000000001,10665.0,572.9,3.7619047619047605
5,KALJEW,615.8,575.0,560.0,6.625527768756083,40.799999999999955,15.0,3.1000000000000005,1350,4185.000000000001,16064.999999999998,571.9,3.8387096774193536
6,KALJEW,615.8,575.0,550.0,6.625527768756083,40.799999999999955,25.0,4.750000000000001,1350,6412.500000000001,27337.5,570.25,4.263157894736842
7,KALJEW,615.8,575.0,540.0,6.625527768756083,40.799999999999955,35.0,6.000000000000001,1350,8100.000000000001,39150.0,569.0,4.833333333333333
8,BHADYN,1306.0,1220.0,1200.0,6.584992343032159,86.0,20.0,3.6000000000000014,1,3.6000000000000014,16.4,1216.4,4.555555555555554
9,ANGBRO,294.0,275.0,270.0,6.462585034013606,19.0,5.0,0.8500000000000001,1,0.8500000000000001,4.15,274.15,4.88235294117647
10,LAULAB,1938.5,1820.0,1800.0,6.112973948929585,118.5,20.0,3.3499999999999996,1,3.3499999999999996,16.65,1816.65,4.970149253731344
11,INDREN,117.02,110.0,100.0,5.998974534267643,7.019999999999996,10.0,2.1999999999999997,1,2.1999999999999997,7.800000000000001,107.8,3.5454545454545463
12,ATHENE,1616.3,1520.0,1500.0,5.958052341768234,96.29999999999995,20.0,4.650000000000002,1,4.650000000000002,15.349999999999998,1515.35,3.3010752688172023
13,KALJEW,615.8,580.0,575.0,5.813575836310483,35.799999999999955,5.0,1.1500000000000004,1350,1552.5000000000005,5197.499999999999,578.85,3.34782608695652
14,KALJEW,615.8,580.0,570.0,5.813575836310483,35.799999999999955,10.0,2.3499999999999996,1350,3172.4999999999995,10327.5,577.65,3.2553191489361706
15,KALJEW,615.8,580.0,565.0,5.813575836310483,35.799999999999955,15.0,3.45,1350,4657.5,15592.500000000002,576.55,3.347826086956522
16,KALJEW,615.8,580.0,560.0,5.813575836310483,35.799999999999955,20.0,4.45,1350,6007.5,20992.5,575.55,3.49438202247191
17,KALJEW,615.8,580.0,550.0,5.813575836310483,35.799999999999955,30.0,6.1000000000000005,1350,8235.0,32264.999999999996,573.9,3.9180327868852456
18,KALJEW,615.8,580.0,540.0,5.813575836310483,35.799999999999955,40.0,7.3500000000000005,1350,9922.5,44077.5,572.65,4.442176870748299
19,KALJEW,615.8,580.0,530.0,5.813575836310483,35.799999999999955,50.0,8.350000000000001,1350,11272.500000000002,56227.5,571.65,4.988023952095808
20,MACDEV,1274.0,1200.0,1100.0,5.808477237048666,74.0,100.0,22.150000000000002,1,22.150000000000002,77.85,1177.85,3.5146726862302478
21,MACDEV,1274.0,1200.0,1080.0,5.808477237048666,74.0,120.0,23.8,1,23.8,96.2,1176.2,4.042016806722689
22,ZOMLIM,328.0,310.0,305.0,5.487804878048781,18.0,5.0,0.9000000000000004,1,0.9000000000000004,4.1,309.1,4.555555555555554
23,PREENR,1013.9,960.0,940.0,5.316106124864383,53.89999999999998,20.0,3.75,1,3.75,16.25,956.25,4.333333333333333
24,CDSL,1414.7,1340.0,1320.0,5.280271435640068,74.70000000000005,20.0,3.3500000000000014,1,3.3500000000000014,16.65,1336.65,4.970149253731341
25,ADATRA,1581.4,1500.0,1460.0,5.147337801947647,81.40000000000009,40.0,6.9,1,6.9,33.1,1493.1,4.797101449275362
26,HINZIN,622.0,590.0,580.0,5.144694533762058,32.0,10.0,1.75,1,1.75,8.25,588.25,4.714285714285714
27,LAULAB,1938.5,1840.0,1820.0,5.08124838792881,98.5,20.0,4.300000000000001,1,4.300000000000001,15.7,1835.7,3.651162790697674
28,LAULAB,1938.5,1840.0,1800.0,5.08124838792881,98.5,40.0,8.05,1,8.05,31.95,1831.95,3.9689440993788816
29,LAULAB,1938.5,1840.0,1780.0,5.08124838792881,98.5,60.0,10.8,1,10.8,49.2,1829.2,4.555555555555555
30,BHADYN,1306.0,1240.0,1220.0,5.053598774885145,66.0,20.0,4.799999999999997,1,4.799999999999997,15.200000000000003,1235.2,3.166666666666669
31,BHADYN,1306.0,1240.0,1200.0,5.053598774885145,66.0,40.0,9.149999999999999,1,9.149999999999999,30.85,1230.85,3.3715846994535528
32,SAGINI,46.34,44.0,43.0,5.0496331463098905,2.3400000000000034,1.0,0.18000000000000005,1,0.18000000000000005,0.82,43.82,4.5555555555555545
33,SAGINI,46.34,44.0,42.0,5.0496331463098905,2.3400000000000034,2.0,0.38,1,0.38,1.62,43.62,4.2631578947368425
34,SAGINI,46.34,44.0,41.0,5.0496331463098905,2.3400000000000034,3.0,0.52,1,0.52,2.48,43.48,4.769230769230769
35,BHEL,430.85,410.0,405.0,4.8392712080770615,20.850000000000023,5.0,0.8999999999999999,1,0.8999999999999999,4.1,409.1,4.555555555555555
36,BHEL,430.85,410.0,400.0,4.8392712080770615,20.850000000000023,10.0,1.7999999999999998,1,1.7999999999999998,8.2,408.2,4.555555555555555
37,KPITE,609.4,580.0,570.0,4.824417459796518,29.399999999999977,10.0,1.7000000000000002,1,1.7000000000000002,8.3,578.3,4.88235294117647
38,ANGBRO,294.0,280.0,275.0,4.761904761904762,14.0,5.0,1.0999999999999996,1,1.0999999999999996,3.9000000000000004,278.9,3.5454545454545467
39,ANGBRO,294.0,280.0,270.0,4.761904761904762,14.0,10.0,2.1999999999999997,1,2.1999999999999997,7.800000000000001,277.8,3.5454545454545463
40,ANGBRO,294.0,280.0,265.0,4.761904761904762,14.0,15.0,2.9499999999999997,1,2.9499999999999997,12.05,277.05,4.084745762711865
41,ANGBRO,294.0,280.0,260.0,4.761904761904762,14.0,20.0,3.5,1,3.5,16.5,276.5,4.714285714285714
42,ASHLEY,175.77,167.5,165.0,4.705012231893957,8.27000000000001,2.5,0.41999999999999993,1,0.41999999999999993,2.08,167.08,4.952380952380953
43,NIITEC,2014.6,1920.0,1900.0,4.6957212349846085,94.59999999999991,20.0,3.3500000000000014,1,3.3500000000000014,16.65,1916.65,4.970149253731341
44,NIITEC,2014.6,1920.0,1880.0,4.6957212349846085,94.59999999999991,40.0,7.5,1,7.5,32.5,1912.5,4.333333333333333
45,NIITEC,2014.6,1920.0,1860.0,4.6957212349846085,94.59999999999991,60.0,10.65,1,10.65,49.35,1909.35,4.633802816901408
46,NIITEC,2014.6,1920.0,1840.0,4.6957212349846085,94.59999999999991,80.0,13.35,1,13.35,66.65,1906.65,4.992509363295881
47,WIPRO,180.95,172.5,170.0,4.6697982868195576,8.449999999999989,2.5,0.45999999999999996,1,0.45999999999999996,2.04,172.04,4.434782608695652
48,LTFINA,314.3,300.0,290.0,4.549793191218584,14.300000000000011,10.0,1.7499999999999998,1,1.7499999999999998,8.25,298.25,4.714285714285715
49,TATMOT,319.4,305.0,300.0,4.508453350031302,14.399999999999977,5.0,0.9000000000000001,1,0.9000000000000001,4.1,304.1,4.5555555555555545
50,VEDLIM,287.95,275.0,270.0,4.497308560513975,12.949999999999989,5.0,0.8999999999999999,1,0.8999999999999999,4.1,274.1,4.555555555555555
51,DLFLIM,679.8,650.0,640.0,4.383642247719911,29.799999999999955,10.0,1.8499999999999996,1,1.8499999999999996,8.15,648.15,4.405405405405406
52,DLFLIM,679.8,650.0,630.0,4.383642247719911,29.799999999999955,20.0,3.55,1,3.55,16.45,646.45,4.633802816901408
53,TCS,2342.0,2240.0,2200.0,4.355251921434671,102.0,40.0,6.700000000000003,225,1507.5000000000007,7492.499999999999,2233.3,4.97014925373134
54,RAIVIK,214.22,205.0,200.0,4.3039865558771355,9.219999999999999,5.0,0.9000000000000001,1,0.9000000000000001,4.1,204.1,4.5555555555555545
55,ONE97,1650.9,1580.0,1560.0,4.294627173057126,70.90000000000009,20.0,4.400000000000002,1,4.400000000000002,15.599999999999998,1575.6,3.545454545454543
56,ONE97,1650.9,1580.0,1540.0,4.294627173057126,70.90000000000009,40.0,7.900000000000002,1,7.900000000000002,32.099999999999994,1572.1,4.063291139240505
57,SONBLW,815.0,780.0,750.0,4.294478527607362,35.0,30.0,5.500000000000001,1,5.500000000000001,24.5,774.5,4.454545454545454
58,VISMEG,107.0,102.5,100.0,4.205607476635514,4.5,2.5,0.44999999999999996,1,0.44999999999999996,2.05,102.05,4.555555555555555
59,COMAGE,762.0,730.0,720.0,4.199475065616798,32.0,10.0,1.6999999999999993,1,1.6999999999999993,8.3,728.3,4.882352941176473
60,KALJEW,615.8,590.0,550.0,4.189671971419285,25.799999999999955,40.0,9.3,1350,12555.000000000002,41445.0,580.7,3.301075268817204
61,KALJEW,615.8,590.0,540.0,4.189671971419285,25.799999999999955,50.0,10.55,1350,14242.500000000002,53257.50000000001,579.45,3.7393364928909953
62,KALJEW,615.8,590.0,530.0,4.189671971419285,25.799999999999955,60.0,11.55,1350,15592.500000000002,65407.50000000001,578.45,4.194805194805195
63,KALJEW,615.8,590.0,520.0,4.189671971419285,25.799999999999955,70.0,12.149999999999999,1350,16402.499999999996,78097.5,577.85,4.761316872427985
64,JUBFOO,490.45,470.0,450.0,4.1696401264145155,20.44999999999999,20.0,3.45,1,3.45,16.55,466.55,4.797101449275362
65,LAULAB,1938.5,1860.0,1800.0,4.049522826928037,78.5,60.0,14.0,1,14.0,46.0,1846.0,3.2857142857142856
66,LAULAB,1938.5,1860.0,1780.0,4.049522826928037,78.5,80.0,16.75,1,16.75,63.25,1843.25,3.7761194029850746
67,LAULAB,1938.5,1860.0,1760.0,4.049522826928037,78.5,100.0,18.9,1,18.9,81.1,1841.1,4.291005291005291
68,LIC,422.0,405.0,400.0,4.028436018957346,17.0,5.0,0.8999999999999999,1,0.8999999999999999,4.1,404.1,4.555555555555555
69,MANAFI,348.9,335.0,330.0,3.9839495557466265,13.899999999999977,5.0,0.9500000000000002,1,0.9500000000000002,4.05,334.05,4.263157894736841
70,ZOMLIM,328.0,315.0,310.0,3.9634146341463414,13.0,5.0,1.1500000000000004,1,1.1500000000000004,3.8499999999999996,313.85,3.34782608695652
71,ZOMLIM,328.0,315.0,305.0,3.9634146341463414,13.0,10.0,2.1500000000000004,1,2.1500000000000004,7.85,312.85,3.651162790697674
72,ZOMLIM,328.0,315.0,300.0,3.9634146341463414,13.0,15.0,2.9000000000000004,1,2.9000000000000004,12.1,312.1,4.1724137931034475
73,ZOMLIM,328.0,315.0,295.0,3.9634146341463414,13.0,20.0,3.45,1,3.45,16.55,311.55,4.797101449275362
74,CDSL,1414.7,1360.0,1340.0,3.866544143634696,54.700000000000045,20.0,4.1,1,4.1,15.9,1355.9,3.878048780487805
75,CDSL,1414.7,1360.0,1320.0,3.866544143634696,54.700000000000045,40.0,8.0,1,8.0,32.0,1352.0,4.0
76,CDSL,1414.7,1360.0,1300.0,3.866544143634696,54.700000000000045,60.0,10.7,1,10.7,49.3,1349.3,4.607476635514018
77,INFTEC,1144.0,1100.0,1080.0,3.8461538461538463,44.0,20.0,3.8499999999999996,1,3.8499999999999996,16.15,1096.15,4.194805194805195
78,INFTEC,1144.0,1100.0,1060.0,3.8461538461538463,44.0,40.0,6.800000000000001,1,6.800000000000001,33.2,1093.2,4.88235294117647
79,SUZENE,46.79,45.0,44.0,3.825603761487496,1.7899999999999991,1.0,0.22000000000000003,1,0.22000000000000003,0.78,44.78,3.545454545454545
80,SUZENE,46.79,45.0,43.0,3.825603761487496,1.7899999999999991,2.0,0.39000000000000007,1,0.39000000000000007,1.6099999999999999,44.61,4.128205128205127
81,PUNBAN,115.4,111.0,110.0,3.8128249566724484,4.400000000000006,1.0,0.17999999999999994,1,0.17999999999999994,0.8200000000000001,110.82,4.555555555555557
82,PUNBAN,115.4,111.0,109.0,3.8128249566724484,4.400000000000006,2.0,0.33999999999999997,1,0.33999999999999997,1.6600000000000001,110.66,4.882352941176472
83,NATALU,394.95,380.0,370.0,3.7852892771236837,14.949999999999989,10.0,2.35,1,2.35,7.65,377.65,3.25531914893617
84,NATALU,394.95,380.0,360.0,3.7852892771236837,14.949999999999989,20.0,3.9,1,3.9,16.1,376.1,4.128205128205129
85,SWILIM,280.5,270.0,260.0,3.7433155080213902,10.5,10.0,2.2499999999999996,1,2.2499999999999996,7.75,267.75,3.444444444444445
86,SWILIM,280.5,270.0,255.0,3.7433155080213902,10.5,15.0,2.9999999999999996,1,2.9999999999999996,12.0,267.0,4.000000000000001
87,SWILIM,280.5,270.0,250.0,3.7433155080213902,10.5,20.0,3.5999999999999996,1,3.5999999999999996,16.4,266.4,4.555555555555555
88,ADAENT,3168.5,3050.0,3000.0,3.7399400347167426,118.5,50.0,10.3,1,10.3,39.7,3039.7,3.854368932038835
89,RURELE,316.8,305.0,300.0,3.724747474747478,11.800000000000011,5.0,0.95,1,0.95,4.05,304.05,4.2631578947368425
90,TECMAH,1640.9,1580.0,1560.0,3.7113779023706557,60.90000000000009,20.0,4.1,1,4.1,15.9,1575.9,3.878048780487805
91,TECMAH,1640.9,1580.0,1540.0,3.7113779023706557,60.90000000000009,40.0,7.449999999999999,1,7.449999999999999,32.55,1572.55,4.369127516778524
92,TECMAH,1640.9,1580.0,1520.0,3.7113779023706557,60.90000000000009,60.0,10.05,1,10.05,49.95,1569.95,4.970149253731344
93,NIITEC,2014.6,1940.0,1920.0,3.7029683311823645,74.59999999999991,20.0,4.049999999999997,1,4.049999999999997,15.950000000000003,1935.95,3.938271604938275
94,NIITEC,2014.6,1940.0,1900.0,3.7029683311823645,74.59999999999991,40.0,8.75,1,8.75,31.25,1931.25,3.5714285714285716
95,NIITEC,2014.6,1940.0,1880.0,3.7029683311823645,74.59999999999991,60.0,12.899999999999999,1,12.899999999999999,47.1,1927.1,3.651162790697675
96,NIITEC,2014.6,1940.0,1860.0,3.7029683311823645,74.59999999999991,80.0,16.049999999999997,1,16.049999999999997,63.95,1923.95,3.984423676012462
97,NIITEC,2014.6,1940.0,1840.0,3.7029683311823645,74.59999999999991,100.0,18.75,1,18.75,81.25,1921.25,4.333333333333333
