"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"844615","FUTIND","BSESEN","FUTURE","24-Sep-2026","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",71300,0,20,5,"BSE SENSEX","","","","",69231.85,84616.7,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7705665,"SENSEX"
"845529","FUTIND","BANKEX","FUTURE","24-Sep-2026","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",120,0,30,5,"BANKEX","","","","",58455.8,71445.95,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",6510035,"BANKEX"
"848728","FUTIND","BSEFOC","FUTURE","24-Sep-2026","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",1485,0,45,100,"BSE FOCUSED IT INDEX","","","","",34020,41580,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",3738900,"FOCIT"
"864571","FUTIND","BSESEN","FUTURE","29-Oct-2026","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",4940,0,20,5,"BSE SENSEX","","","","",69753.7,85254.55,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7762840,"SENSEX"
"1111837","FUTIND","BSEFOC","FUTURE","26-Nov-2026","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,45,100,"BSE FOCUSED IT INDEX","","","","",33998,41553,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",3675849,"FOCIT"
"876157","FUTIND","BSEFOC","FUTURE","29-Oct-2026","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,45,100,"BSE FOCUSED IT INDEX","","","","",33855,41378,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",3752900,"FOCIT"
"1100929","FUTIND","BSESEN","FUTURE","26-Nov-2026","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",280,0,20,5,"BSE SENSEX","","","","",70334.7,85964.65,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7804090,"SENSEX"
"1102569","FUTIND","BANKEX","FUTURE","26-Nov-2026","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,30,5,"BANKEX","","","","",59013.35,72127.4,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",6572130,"BANKEX"
"865646","FUTIND","BANKEX","FUTURE","29-Oct-2026","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,30,5,"BANKEX","","","","",58764.9,71823.75,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",6484224,"BANKEX"
"837931","OPTIND","BSESEN","OPTION","24-Sep-2026","91000","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",11012.75,17123.4,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8576201,"SENSEX"
"838729","OPTIND","BSESEN","OPTION","24-Sep-2026","91000","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",0.05,20.05,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8576201,"SENSEX"
"839136","OPTIND","BSESEN","OPTION","24-Sep-2026","75100","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",0.05,4112.1,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7680848,"SENSEX"
"839137","OPTIND","BSESEN","OPTION","24-Sep-2026","77400","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",2440,0,20,5,"BSE SENSEX","","","","",0.05,2060.8,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7651543,"SENSEX"
"839138","OPTIND","BSESEN","OPTION","24-Sep-2026","79700","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",240,0,20,5,"BSE SENSEX","","","","",0.05,1004.6,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7651543,"SENSEX"
"839142","OPTIND","BSESEN","OPTION","24-Sep-2026","71400","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",2515.85,8260.85,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7680848,"SENSEX"
"839143","OPTIND","BSESEN","OPTION","24-Sep-2026","73700","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",685.5,5650,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7680848,"SENSEX"
"839147","OPTIND","BSESEN","OPTION","24-Sep-2026","81400","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",0.05,578.85,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7680848,"SENSEX"
"839148","OPTIND","BSESEN","OPTION","24-Sep-2026","83700","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",0.05,257.9,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7680848,"SENSEX"
"839150","OPTIND","BSESEN","OPTION","24-Sep-2026","79100","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",380,0,20,5,"BSE SENSEX","","","","",203.85,4268.7,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7651543,"SENSEX"
